journey_id,timestamp_minutes,latitude,longitude,distance_remaining_km,eta_remaining_minutes
3397,0.0,40.77214,-73.990822,6.721,23.1
3397,2.0,40.767616,-73.992194,6.205,21.18
3397,4.0,40.762889,-73.993515,5.668,19.25
3397,6.0,40.757685,-73.994714,5.081,17.33
3397,8.0,40.75236,-73.995881,4.481,15.4
3397,10.0,40.746808,-73.996991,3.857,13.47
3397,12.0,40.74203,-73.998298,3.314,11.55
3397,14.0,40.736973,-73.999535,2.743,9.62
3397,16.0,40.73258,-74.000941,2.24,7.7
3397,18.0,40.728252,-74.002363,1.745,5.78
3397,20.0,40.723165,-74.003592,1.17,3.85
3397,22.0,40.718125,-74.004832,0.6,1.93
3397,24.0,40.7128,-74.006,0.0,0.0
