journey_id,update_sequence,elapsed_minutes,time_of_day_hour,time_of_day_minute,is_rush_hour,is_lunch_hour,original_eta_minutes,actual_duration_minutes,time_variance_percent,travel_mode,original_distance_km,original_speed_kmh
2985,0,0.0,19,56,1,0,29.0,30.0,3.45,Car,13.99,33.8
2985,1,2.0,19,58,1,0,29.0,30.0,3.45,Car,13.99,33.8
2985,2,4.0,20,0,0,0,29.0,30.0,3.45,Car,13.99,33.8
2985,3,6.0,20,2,0,0,29.0,30.0,3.45,Car,13.99,33.8
2985,4,8.0,20,3,0,0,29.0,30.0,3.45,Car,13.99,33.8
2985,5,10.0,20,6,0,0,29.0,30.0,3.45,Car,13.99,33.8
2985,6,12.0,20,7,0,0,29.0,30.0,3.45,Car,13.99,33.8
2985,7,14.0,20,10,0,0,29.0,30.0,3.45,Car,13.99,33.8
2985,8,16.0,20,11,0,0,29.0,30.0,3.45,Car,13.99,33.8
2985,9,18.0,20,14,0,0,29.0,30.0,3.45,Car,13.99,33.8
2985,10,20.0,20,15,0,0,29.0,30.0,3.45,Car,13.99,33.8
2985,11,22.0,20,18,0,0,29.0,30.0,3.45,Car,13.99,33.8
2985,12,24.0,20,19,0,0,29.0,30.0,3.45,Car,13.99,33.8
2985,13,26.0,20,22,0,0,29.0,30.0,3.45,Car,13.99,33.8
2985,14,28.0,20,23,0,0,29.0,30.0,3.45,Car,13.99,33.8
2985,15,30.0,20,26,0,0,29.0,30.0,3.45,Car,13.99,33.8
