journey_id,timestamp_minutes,latitude,longitude,distance_remaining_km,eta_remaining_minutes
3162,0.46,40.699452,-73.944815,5.367,31.24
3162,2.28,40.700235,-73.949382,4.973,28.8
3162,5.0,40.70127,-73.952798,4.664,25.12
3162,7.25,40.702183,-73.956769,4.314,30.84
3162,9.17,40.702957,-73.96138,3.917,23.79
3162,11.59,40.704006,-73.964731,3.613,19.36
3162,13.39,40.704732,-73.969561,3.2,21.94
3162,15.51,40.705619,-73.97365,2.841,17.0
3162,17.77,40.706488,-73.977827,2.476,12.71
3162,20.21,40.70734,-73.982081,2.106,11.31
3162,22.76,40.708279,-73.985935,1.764,12.67
3162,24.42,40.709199,-73.989873,1.417,9.76
3162,26.6,40.710088,-73.993957,1.059,6.01
3162,28.88,40.710991,-73.997977,0.706,4.07
3162,30.83,40.711999,-74.001516,0.388,2.3
3162,33.62,40.7128,-74.006,0.0,0.0
