journey_id,timestamp_minutes,latitude,longitude,distance_remaining_km,eta_remaining_minutes
203,0.19,40.740414,-73.965483,4.592,29.73
203,5.49,40.738266,-73.969084,4.207,19.99
203,4.07,40.736299,-73.972951,3.819,22.47
203,8.06,40.73368,-73.975862,3.441,21.21
203,8.46,40.731209,-73.978989,3.061,20.07
203,10.15,40.728563,-73.981858,2.685,13.6
203,24.64,40.72627,-73.985247,2.303,15.4
203,14.1,40.724058,-73.988755,1.918,12.22
203,16.48,40.722005,-73.992494,1.531,10.01
203,36.1,40.720032,-73.996352,1.144,5.62
203,44.03,40.717989,-74.000109,0.761,4.68
203,44.71,40.715254,-74.002848,0.381,1.96
203,24.03,40.7128,-74.006,0.0,0.0
