journey_id,timestamp_minutes,latitude,longitude,distance_remaining_km,eta_remaining_minutes
3357,0.0,40.740489,-73.994171,3.236,67.8
3357,2.0,40.739543,-73.994463,3.129,65.81
3357,4.0,40.739012,-73.994931,3.06,63.81
3357,6.0,40.737905,-73.995154,2.937,61.82
3357,8.0,40.737243,-73.995567,2.857,59.82
3357,10.0,40.736466,-73.995931,2.765,57.83
3357,12.0,40.735642,-73.996275,2.669,55.84
3357,14.0,40.734991,-73.996693,2.589,53.84
3357,16.0,40.73381,-73.996884,2.459,51.85
3357,18.0,40.733315,-73.997368,2.394,49.85
3357,20.0,40.73232,-73.997639,2.282,47.86
3357,22.0,40.731703,-73.998072,2.206,45.86
3357,24.0,40.730821,-73.99839,2.104,43.87
3357,26.0,40.729761,-73.998633,1.986,41.88
3357,28.0,40.729059,-73.999029,1.901,39.88
3357,30.0,40.72831,-73.999405,1.812,37.89
3357,32.0,40.727184,-73.99962,1.687,35.89
3357,34.0,40.72649,-74.000019,1.604,33.9
3357,36.0,40.725637,-74.000351,1.505,31.91
3357,38.0,40.724742,-74.000664,1.402,29.91
3357,40.0,40.724128,-74.001098,1.326,27.92
3357,42.0,40.723605,-74.00157,1.258,25.92
3357,44.0,40.722475,-74.001783,1.133,23.93
3357,46.0,40.72165,-74.002127,1.037,21.94
3357,48.0,40.721094,-74.002585,0.966,19.94
3357,50.0,40.720094,-74.002854,0.853,17.95
3357,52.0,40.71937,-74.00324,0.767,15.95
3357,54.0,40.718475,-74.003554,0.664,13.96
3357,56.0,40.71768,-74.00391,0.571,11.96
3357,58.0,40.716991,-74.004311,0.487,9.97
3357,60.0,40.716186,-74.004663,0.393,7.98
3357,62.0,40.715421,-74.005032,0.303,5.98
3357,64.0,40.714454,-74.005315,0.193,3.99
3357,66.0,40.713853,-74.005754,0.119,1.99
3357,68.0,40.7128,-74.006,0.0,0.0
