journey_id,timestamp_minutes,latitude,longitude,distance_remaining_km,eta_remaining_minutes
2744,0.15,40.727938,-73.985107,2.436,45.06
2744,2.82,40.727212,-73.985847,2.335,48.64
2744,4.03,40.726538,-73.986657,2.234,45.74
2744,6.39,40.726115,-73.987814,2.131,41.97
2744,8.24,40.725339,-73.988485,2.031,45.25
2744,10.6,40.724841,-73.989538,1.928,33.91
2744,12.67,40.724142,-73.990315,1.827,45.34
2744,14.45,40.723449,-73.991099,1.726,33.66
2744,16.0,40.722834,-73.991992,1.624,40.17
2744,18.11,40.722252,-73.99293,1.523,34.24
2744,20.08,40.7215,-73.993633,1.422,32.24
2744,22.29,40.72112,-73.99485,1.319,25.51
2744,25.01,40.720416,-73.995618,1.218,26.72
2744,26.1,40.719782,-73.996485,1.116,21.35
2744,28.14,40.719153,-73.997358,1.015,23.95
2744,30.93,40.7185,-73.998197,0.913,22.42
2744,32.47,40.717776,-73.998939,0.813,19.56
2744,34.04,40.717235,-73.999934,0.71,16.67
2744,36.44,40.716633,-74.000844,0.609,13.01
2744,38.1,40.716094,-74.001841,0.507,8.91
2744,40.02,40.715312,-74.002503,0.406,8.09
2744,42.0,40.714734,-74.003446,0.304,7.5
2744,44.73,40.714094,-74.004304,0.203,3.63
2744,46.41,40.713372,-74.005049,0.102,2.24
2744,48.15,40.7128,-74.006,0.0,0.0
