journey_id,timestamp_minutes,latitude,longitude,distance_remaining_km,eta_remaining_minutes
1284,0.0,40.594714,-73.939878,14.266,45.0
1284,2.0,40.599721,-73.942824,13.657,43.04
1284,4.0,40.60462,-73.94583,13.056,41.09
1284,6.0,40.609345,-73.948934,12.47,39.13
1284,8.0,40.614844,-73.951605,11.819,37.17
1284,10.0,40.619669,-73.954653,11.225,35.22
1284,12.0,40.625122,-73.957349,10.578,33.26
1284,14.0,40.630552,-73.960058,9.932,31.3
1284,16.0,40.635897,-73.962815,9.294,29.35
1284,18.0,40.641304,-73.965537,8.651,27.39
1284,20.0,40.646438,-73.968413,8.031,25.43
1284,22.0,40.651623,-73.971259,7.407,23.48
1284,24.0,40.656878,-73.974066,6.776,21.52
1284,26.0,40.66188,-73.977015,6.167,19.57
1284,28.0,40.666898,-73.979955,5.556,17.61
1284,30.0,40.671825,-73.982946,4.953,15.65
1284,32.0,40.67674,-73.985944,4.352,13.7
1284,34.0,40.681477,-73.989041,3.765,11.74
1284,36.0,40.686851,-73.991782,3.125,9.78
1284,38.0,40.691914,-73.994696,2.51,7.83
1284,40.0,40.696781,-73.99772,1.913,5.87
1284,42.0,40.701973,-74.000563,1.288,3.91
1284,44.0,40.70732,-74.003319,0.65,1.96
1284,46.0,40.7128,-74.006,0.0,0.0
