journey_id,update_sequence,elapsed_minutes,time_of_day_hour,time_of_day_minute,is_rush_hour,is_lunch_hour,original_eta_minutes,actual_duration_minutes,time_variance_percent,travel_mode,original_distance_km,original_speed_kmh
2458,0,0.86,15,37,0,0,62.3,70.46,13.1,Bike,8.0,8.0
2458,1,2.39,15,39,0,0,62.3,70.46,13.1,Bike,8.0,8.0
2458,2,4.63,15,41,0,0,62.3,70.46,13.1,Bike,8.0,8.0
2458,3,6.84,15,43,0,0,62.3,70.46,13.1,Bike,8.0,8.0
2458,4,8.93,15,45,0,0,62.3,70.46,13.1,Bike,8.0,8.0
2458,5,11.12,15,48,0,0,62.3,70.46,13.1,Bike,8.0,8.0
2458,6,13.23,15,50,0,0,62.3,70.46,13.1,Bike,8.0,8.0
2458,7,15.74,15,52,0,0,62.3,70.46,13.1,Bike,8.0,8.0
2458,8,17.72,15,54,0,0,62.3,70.46,13.1,Bike,8.0,8.0
2458,9,19.96,15,56,0,0,62.3,70.46,13.1,Bike,8.0,8.0
2458,10,22.18,15,59,0,0,62.3,70.46,13.1,Bike,8.0,8.0
2458,11,24.39,16,1,0,0,62.3,70.46,13.1,Bike,8.0,8.0
2458,12,26.6,16,3,0,0,62.3,70.46,13.1,Bike,8.0,8.0
2458,13,28.66,16,5,0,0,62.3,70.46,13.1,Bike,8.0,8.0
2458,14,30.97,16,7,0,0,62.3,70.46,13.1,Bike,8.0,8.0
2458,15,33.23,16,10,0,0,62.3,70.46,13.1,Bike,8.0,8.0
2458,16,35.71,16,12,0,0,62.3,70.46,13.1,Bike,8.0,8.0
2458,17,37.8,16,14,0,0,62.3,70.46,13.1,Bike,8.0,8.0
2458,18,39.8,16,16,0,0,62.3,70.46,13.1,Bike,8.0,8.0
2458,19,42.01,16,19,0,0,62.3,70.46,13.1,Bike,8.0,8.0
2458,20,44.33,16,21,0,0,62.3,70.46,13.1,Bike,8.0,8.0
2458,21,46.33,16,23,0,0,62.3,70.46,13.1,Bike,8.0,8.0
2458,22,48.45,16,25,0,0,62.3,70.46,13.1,Bike,8.0,8.0
2458,23,51.56,16,28,0,0,62.3,70.46,13.1,Bike,8.0,8.0
2458,24,53.35,16,30,0,0,62.3,70.46,13.1,Bike,8.0,8.0
2458,25,55.17,16,32,0,0,62.3,70.46,13.1,Bike,8.0,8.0
2458,26,57.42,16,34,0,0,62.3,70.46,13.1,Bike,8.0,8.0
2458,27,59.51,16,36,0,0,62.3,70.46,13.1,Bike,8.0,8.0
2458,28,61.85,16,38,0,0,62.3,70.46,13.1,Bike,8.0,8.0
2458,29,63.8,16,40,0,0,62.3,70.46,13.1,Bike,8.0,8.0
2458,30,66.24,16,43,0,0,62.3,70.46,13.1,Bike,8.0,8.0
2458,31,68.66,16,45,0,0,62.3,70.46,13.1,Bike,8.0,8.0
2458,32,70.46,16,47,0,0,62.3,70.46,13.1,Bike,8.0,8.0
