journey_id,update_sequence,elapsed_minutes,time_of_day_hour,time_of_day_minute,is_rush_hour,is_lunch_hour,original_eta_minutes,actual_duration_minutes,time_variance_percent,travel_mode,original_distance_km,original_speed_kmh
1287,0,0.07,19,14,1,0,22.5,24.33,8.13,Car,8.81,31.1
1287,1,3.01,19,17,1,0,22.5,24.33,8.13,Car,8.81,31.1
1287,2,8.84,19,22,1,0,22.5,24.33,8.13,Car,8.81,31.1
1287,3,6.14,19,20,1,0,22.5,24.33,8.13,Car,8.81,31.1
1287,4,8.37,19,22,1,0,22.5,24.33,8.13,Car,8.81,31.1
1287,5,11.01,19,25,1,0,22.5,24.33,8.13,Car,8.81,31.1
1287,6,12.16,19,26,1,0,22.5,24.33,8.13,Car,8.81,31.1
1287,7,31.3,19,45,1,0,22.5,24.33,8.13,Car,8.81,31.1
1287,8,20.82,19,34,1,0,22.5,24.33,8.13,Car,8.81,31.1
1287,9,18.32,19,32,1,0,22.5,24.33,8.13,Car,8.81,31.1
1287,10,40.37,19,54,1,0,22.5,24.33,8.13,Car,8.81,31.1
1287,11,22.64,19,36,1,0,22.5,24.33,8.13,Car,8.81,31.1
1287,12,24.33,19,38,1,0,22.5,24.33,8.13,Car,8.81,31.1
