journey_id,timestamp_minutes,latitude,longitude,distance_remaining_km,eta_remaining_minutes
3912,0.0,40.702517,-73.947708,5.045,31.4
3912,2.0,40.703062,-73.951904,4.687,29.44
3912,4.0,40.703652,-73.955845,4.348,27.47
3912,6.0,40.704323,-73.959326,4.045,25.51
3912,8.0,40.704996,-73.962801,3.743,23.55
3912,10.0,40.705716,-73.966005,3.462,21.59
3912,12.0,40.706403,-73.969396,3.166,19.62
3912,14.0,40.707158,-73.972404,2.9,17.66
3912,16.0,40.707745,-73.976361,2.561,15.7
3912,18.0,40.708417,-73.979842,2.258,13.74
3912,20.0,40.709012,-73.983752,1.922,11.77
3912,22.0,40.709571,-73.987874,1.569,9.81
3912,24.0,40.710157,-73.991836,1.229,7.85
3912,26.0,40.710705,-73.996018,0.873,5.89
3912,28.0,40.711404,-73.999343,0.582,3.92
3912,30.0,40.7121,-74.002684,0.29,1.96
3912,32.0,40.7128,-74.006,0.0,0.0
