journey_id,timestamp_minutes,latitude,longitude,distance_remaining_km,eta_remaining_minutes
4154,0.19,40.709505,-74.017696,1.052,20.04
4154,2.01,40.70978,-74.016548,0.95,24.21
4154,4.24,40.710056,-74.015399,0.849,17.14
4154,6.63,40.710472,-74.014751,0.782,16.29
4154,8.1,40.710676,-74.013347,0.663,16.95
4154,10.3,40.710966,-74.012251,0.565,10.32
4154,12.1,40.711293,-74.011285,0.476,9.77
4154,14.86,40.711562,-74.010113,0.373,7.83
4154,16.41,40.711971,-74.009436,0.304,6.5
4154,18.09,40.712236,-74.00825,0.2,4.29
4154,20.65,40.712492,-74.007034,0.094,1.99
4154,22.22,40.7128,-74.006,0.0,0.0
